timestamp,sbe_receive_time_us,orderbook_update_time_us,arbitrage_detection_time_us,total_processing_time_us,updates_processed,opportunities_found,best_profit_percentage,avg_profit_percentage,symbol
2025-05-18 23:43:34.981,0,73,0,73,1,0,0,0,SOLARS
2025-05-18 23:43:34.983,0,36,0,36,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.086,0,82,0,82,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.183,0,59,0,59,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.216,0,39,0,40,1,0,0,0,USDTARS
2025-05-18 23:43:35.283,0,73,0,74,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.403,0,71,0,72,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.492,0,52,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.592,0,71,0,71,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.695,0,62,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.783,0,28,0,28,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.883,0,98,0,98,1,0,0,0,SOLUSDT
2025-05-18 23:43:35.984,0,64,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.083,0,11,0,11,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.183,0,69,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.283,0,42,0,42,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.382,0,53,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.482,0,42,0,42,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.585,0,40,0,41,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.684,0,61,0,61,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.783,0,48,0,49,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.883,0,62,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:36.983,0,45,0,45,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.086,0,64,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.185,0,111,0,111,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.283,0,44,0,44,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.383,0,66,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.483,0,16,0,16,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.583,0,11,0,11,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.683,0,52,0,52,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.785,0,42,0,43,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.883,0,61,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:37.983,0,74,0,75,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.085,0,87,0,88,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.183,0,53,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.282,0,29,0,30,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.383,0,64,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.484,0,55,0,56,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.585,0,58,0,58,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.683,0,36,0,36,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.784,0,45,0,45,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.883,0,40,0,41,1,0,0,0,SOLUSDT
2025-05-18 23:43:38.983,0,53,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.083,0,40,0,41,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.183,0,48,0,48,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.283,0,132,0,132,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.384,0,65,0,66,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.415,0,41,0,42,1,0,0,0,USDTARS
2025-05-18 23:43:39.484,0,96,0,97,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.582,0,44,0,44,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.683,0,65,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.783,0,35,0,35,1,0,0,0,SOLUSDT
2025-05-18 23:43:39.983,0,73,0,73,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.083,0,66,0,66,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.183,0,56,0,56,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.284,0,45,0,46,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.382,0,28,0,29,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.414,0,24,0,24,1,0,0,0,USDTARS
2025-05-18 23:43:40.483,0,74,0,75,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.584,0,69,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.683,0,55,0,57,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.784,0,71,0,72,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.883,0,53,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:40.983,0,73,0,73,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.083,0,52,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.182,0,14,0,14,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.215,0,49,0,50,1,0,0,0,USDTARS
2025-05-18 23:43:41.284,0,75,0,76,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.484,0,68,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.583,0,64,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.683,0,63,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.783,0,51,0,52,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.883,0,80,0,80,1,0,0,0,SOLUSDT
2025-05-18 23:43:41.983,0,53,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.085,0,66,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.183,0,48,0,49,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.283,0,85,0,86,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.383,0,35,0,36,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.483,0,14,0,14,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.582,0,21,0,21,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.683,0,32,0,32,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.783,0,47,0,48,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.883,0,55,0,55,1,0,0,0,SOLUSDT
2025-05-18 23:43:42.983,0,47,0,48,1,0,0,0,SOLUSDT
2025-05-18 23:43:43.081,0,64,0,64,1,0,0,0,SOLARS
2025-05-18 23:43:43.082,0,18,0,18,1,0,0,0,SOLUSDT
2025-05-18 23:43:43.185,0,76,0,77,1,0,0,0,SOLUSDT
2025-05-18 23:43:43.287,0,89,0,89,1,0,0,0,SOLUSDT
